國家/地區別,總計,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
101年 12月,3841202,11465,13768,839,82809,44331,658488,322645,2729,1751,41524,19370,596,136689,63731,437916,1541538,224171,205797,31047
102,43689850,88623,101317,10424,862919,355138,7807212,3479885,38020,16544,440686,222147,7311,1308845,775323,5686214,16747901,2724636,2665899,350804
102年 1月,3908373,6319,20528,997,78483,54178,697517,333288,2485,1033,40256,19300,698,160141,64872,501141,1377604,288830,233055,27648
102年 2月,3215438,1648,6231,486,70431,25099,592104,242133,2601,762,33275,16271,344,104245,47509,448134,1250534,155749,194817,23065
102年 3月,4167438,16254,7122,1113,104690,29963,743085,310370,3440,1592,45896,20356,781,111712,91993,596011,1578298,188568,288337,27858
102年 4月,3623583,3096,5185,950,75171,19380,623379,307259,2171,1690,36397,19401,804,125591,73683,493793,1414792,198297,193837,28706
102年 5月,3498241,2125,5259,969,53478,21643,592931,291437,3008,1405,33367,17735,439,112177,55557,454990,1425145,167627,231408,27540
102年 6月,4087290,19754,4263,432,61436,46994,695400,299054,3716,1359,34828,17207,367,117136,87581,527289,1640882,276605,224677,28311
102年 7月,3779012,8209,4385,740,84722,18356,685773,339361,3517,1439,38138,18417,604,116249,57048,495458,1443221,203120,230117,30138
102年 8月,3222274,3752,4715,937,79947,18910,624467,250739,3287,1329,33168,17832,467,94320,58317,428363,1223925,179239,171200,27360
102年 9月,3455630,5388,7768,836,79183,35502,621185,269024,3992,1230,39162,19691,877,95168,56645,453091,1288400,265518,184436,28533
102年 10月,3428823,6299,9170,545,73225,21721,633872,301894,3785,1447,39801,21455,832,106418,60357,408326,1295301,204125,209091,31160
102年 11月,3376232,9691,9269,860,46482,33511,616214,240625,3229,1667,38619,16851,529,74856,46291,451489,1256944,265878,232417,30812
102年 12月,3927516,6086,17422,1561,55671,29882,681287,294701,2789,1590,27780,17631,571,90833,75471,428129,1552854,331081,272507,39671
103,41978720,92436,119740,10257,711401,576037,7154650,3328843,43523,20553,342646,200344,7762,1055481,945490,5349995,16133514,2548658,2900327,437063
103年 1月,3033590,5311,19898,1073,70626,38063,526892,245435,2769,979,22742,13399,674,83452,58864,386157,1116065,219137,191727,30327
103年 2月,3223389,5495,9308,592,69896,57460,552131,243086,2741,2050,29291,16891,447,91514,54793,404110,1239810,176494,235531,31749
103年 3月,4017654,14770,8873,1430,92664,49462,729032,296611,3811,2447,30867,19479,744,99387,72618,459750,1561287,219348,317402,37672
103年 4月,3807078,3528,6320,1224,37189,65760,643121,305472,4094,1967,26027,18413,687,96459,63474,478564,1494254,256063,267476,36986
103年 5月,3102204,3790,3997,1259,29641,55388,560974,248979,4959,1317,27742,14245,593,79568,54667,437351,1137981,178047,218846,42860
103年 6月,3909392,20852,4955,923,42335,50690,647756,297630,4153,2169,31552,16648,734,93923,92321,519384,1514377,256966,271838,40186
103年 7月,3750984,2336,4606,843,51426,33324,620510,310084,4077,1590,31863,16927,632,93632,90130,477456,1432565,266898,274302,37783
103年 8月,3524300,3169,5915,390,64366,38706,612670,283696,3723,979,25807,17465,609,93740,99353,431335,1396394,170686,241307,33990
103年 9月,3448500,3975,7423,747,61373,30201,590733,286802,3268,1271,29138,18835,728,88151,97575,463580,1316407,183899,229194,35200
103年 10月,3388671,4541,15569,605,63532,29634,589812,281730,2848,2364,30699,18554,540,88882,104394,438897,1252536,197234,230798,35502
103年 11月,3375564,15930,14037,625,67069,46326,550663,271887,3714,1786,27418,15159,826,72534,75648,443995,1316741,204217,209154,37835
103年 12月,3397394,8739,18839,546,61284,81023,530356,257431,3366,1634,29500,14329,548,74239,81653,409416,1355097,219669,212752,36973
104,38865379,108642,149859,6568,738018,464849,6024690,2796827,37770,20186,310237,185296,7566,875232,1154339,4240640,16282670,2580766,2450877,430347
104年 1月,3108021,5656,26087,771,61340,49693,510033,222858,2773,1907,26834,14763,353,72060,90287,446024,1173030,179554,190673,33325
104年 2月,2721799,3775,15722,518,53745,18950,453382,209721,3081,1598,21817,12826,670,63532,96364,352259,1006837,194146,181374,31482
104年 3月,3983193,21238,8200,336,82171,35783,626516,295207,5028,2934,33394,21582,718,87993,113928,513352,1592929,247502,255606,38776
104年 4月,3212678,5677,4741,365,43525,35484,537436,241680,3033,1844,26375,15347,747,69950,105025,402159,1256926,188758,238483,35123
104年 5月,3189660,3997,3954,1254,54344,33941,524864,223903,4165,2227,24231,12317,590,73073,95265,367811,1294494,236014,199265,33951
104年 6月,3543922,17777,4541,239,66160,32978,519604,240523,3005,1777,26856,14169,535,70395,104589,371588,1531896,281700,217601,37989
104年 7月,3234660,4034,4787,730,59123,30373,472765,220486,3053,1332,24769,12767,473,72532,121694,315182,1449888,200932,206050,33690
104年 8月,3197854,4442,5454,479,67370,34586,497226,219480,2456,1939,23498,15437,711,65795,102276,312392,1442239,187887,179592,34595
104年 9月,3170962,13838,10081,630,56619,27774,472646,225719,1982,964,24763,16193,724,71902,88358,292017,1448131,202353,180495,35773
104年 10月,3128662,5016,19714,416,61174,39932,443341,224068,2565,1157,27916,16952,977,71534,65041,311033,1429514,200390,171734,36188
104年 11月,3210177,12701,18049,467,64024,59523,478679,238438,3463,1072,24611,15701,506,77030,100564,262899,1353447,239782,218943,40278
104年 12月,3163791,10491,28529,363,68423,65832,488198,234744,3166,1435,25173,17242,562,79436,70948,293924,1303339,221748,211061,39177
105,40620288,103908,152676,7566,690078,575504,6268545,2830535,39463,17054,331999,181629,7159,771610,923549,3767632,18298637,2756719,2450373,445652
105年 1月,3018409,5521,30220,342,68182,36648,471411,230856,3153,1068,21113,13255,508,61293,86205,265514,1298966,225534,165066,33554
105年 2月,2659222,13747,10191,624,52185,24377,442225,181054,2926,796,21505,11225,301,50973,52651,241374,1203010,175617,143408,31033
105年 3月,3347531,5218,12420,881,77460,51085,515765,229632,4341,1478,32514,19903,750,61425,82394,336231,1482253,210162,186598,37021
105年 4月,2940527,6805,8399,380,56384,32819,490160,219895,3715,1937,24183,13007,799,59417,54748,265406,1239413,253704,174017,35339
105年 5月,3394369,2635,5378,716,65262,39012,536258,236965,3440,1435,24656,14885,746,71549,60304,325817,1563790,193010,210854,37657
